longitude,latitude,flood_susceptibility,risk_class,risk_label
6.95,5.366667,0.6834177063468095,3.0,high
6.95,5.367226281879194,0.6837770194836402,3.0,high
6.95,5.367785563758389,0.6840428226173373,3.0,high
6.95,5.3683448456375835,0.6843175972252099,3.0,high
6.95,5.368904127516778,0.6846014081769579,3.0,high
6.95,5.369463409395973,0.6848943158859503,3.0,high
6.95,5.370022691275167,0.6851963764393784,3.0,high
6.95,5.370581973154362,0.685507641756209,3.0,high
6.95,5.371141255033557,0.7858281597744348,3.0,high
6.95,5.371700536912751,0.7861579746697025,3.0,high
6.95,5.372259818791946,0.7864971271077763,3.0,high
6.95,5.3728191006711405,0.786845654533592,3.0,high
6.95,5.373378382550335,0.7872035915004016,3.0,high
6.95,5.37393766442953,0.7875709700427078,3.0,high
6.95,5.374496946308724,0.7879478200977101,3.0,high
6.95,5.375056228187919,0.788334169980158,3.0,high
6.95,5.375615510067114,0.7887300469165286,3.0,high
6.95,5.376174791946308,0.7891354776449218,3.0,high
6.95,5.376734073825503,0.78955048908776,3.0,high
6.95,5.377293355704698,0.7899751091051137,3.0,high
6.95,5.377852637583892,0.7904093673369073,3.0,high
6.95,5.378411919463087,0.7908532961430383,3.0,high
6.95,5.3789712013422815,0.7913069316504759,3.0,high
6.95,5.379530483221476,0.7917703149171496,3.0,high
6.95,5.380089765100671,0.7922434932221623,3.0,high
6.95,5.380649046979865,0.7927265214917842,3.0,high
6.95,5.38120832885906,0.793219463870412,3.0,high
6.95,5.381767610738255,0.7937223954447592,3.0,high
6.95,5.382326892617449,0.794235404128409,3.0,high
6.95,5.382886174496644,0.794758592712344,3.0,high
6.95,5.3834454563758385,0.795292081084765,3.0,high
6.95,5.384004738255033,0.7958360086210969,3.0,high
6.95,5.384564020134228,0.7963905367415158,3.0,high
6.95,5.385123302013422,0.7969558516295199,3.0,high
6.95,5.385682583892617,0.7975321671004305,3.0,high
6.95,5.386241865771812,0.7981197276030669,3.0,high
6.95,5.386801147651006,0.7987188113320778,3.0,high
6.95,5.387360429530201,0.7993297334211091,3.0,high
6.95,5.3879197114093955,0.7999528491796004,3.0,high
